"SetID" "P.value" "N.Marker.All" "N.Marker.Test" "MAC" "m" "Method.bin" "MAP"
"CYP1A1*2A" 1.21259006148757e-38 1 1 1637 1306 "UA" -1
"CYP1A1*2B" 1.21259006148757e-38 1 1 1637 1306 "UA" -1
"CYP1A2*1F" 0.134378331703162 1 1 1929 1538 "UA" -1
"CYP1A2*1K" 8.64034786777212e-05 2 2 2286 1725 "UA" -1
"CYP1A2*1L" 5.62342562626661e-07 2 2 3130 2112 "UA" -1
"CYP1A2*13" 3.32558417783912e-18 1 1 24 24 "QA" -1
"CYP1A2*17" 1.33020747750123e-07 2 2 3138 2117 "UA" -1
"CYP1A2*21" 0.134378331703162 1 1 1929 1538 "UA" -1
"CYP2A6*2" 0.324782774288019 1 1 47 47 "QA" -1
"CYP2A6*18" 0.164615405917548 1 1 69 67 "QA" -1
"CYP2A6*19" 0.164615405917548 1 1 69 67 "QA" -1
"CYP2A6*28" 5.34337010890445e-42 2 1 77 70 "QA" -1
"CYP2A6*44" 5.34337010890445e-42 2 1 77 70 "QA" -1
"CYP2A6*S5" 0.164615405917548 1 1 69 67 "QA" -1
"CYP2B6*4" 1 1 0 0 0 "NA" 1
"CYP2B6*5" 0.016565107882546 1 1 272 264 "QA" -1
"CYP2B6*6" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*7" 0.0144409026694869 3 2 1951 1556 "UA" -1
"CYP2B6*9" 0.0012571830010635 1 1 1679 1382 "UA" -1
"CYP2B6*13" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*16" 1 1 0 0 0 "NA" 1
"CYP2B6*19" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*20" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*22" 1.89921666526871e-06 2 2 1414 1185 "UA" -1
"CYP2B6*26" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*34" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*36" 1.89921666526871e-06 3 2 1775 1446 "UA" -1
"CYP2B6*37" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2B6*38" 0.0012571830010635 2 1 1679 1382 "UA" -1
"CYP2C8*3" 0.113631629808812 1 1 245 230 "QA" -1
"CYP2C9*3" 1.02948513937819e-87 2 2 690 320 "QA" -1
"CYP2C9*18" 1.02948513937819e-87 2 2 690 320 "QA" -1
"CYP2C19*2" 0.153240465092356 2 2 2377 1047 "UA" -1
"CYP2C19*3" 1.70716737727048e-25 1 1 102 100 "QA" -1
"CYP2C19*35" 0.20453104943774 1 1 1206 1046 "UA" -1
"CYP2D6*2" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*4" 3.51751860195694e-05 1 1 467 414 "QA" -1
"CYP2D6*10" 1.0903199194645e-13 1 1 1193 938 "UA" -1
"CYP2D6*27" 1 1 0 0 0 "NA" 1
"CYP2D6*28" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*29" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*31" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*32" 6.07701447230719e-19 4 3 6273 2370 "UA" -1
"CYP2D6*34" 1.31969187948538e-19 1 1 1810 1394 "UA" -1
"CYP2D6*35" 6.07701447230719e-19 3 3 6273 2370 "UA" -1
"CYP2D6*37" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
"CYP2D6*39" 2.55753584714984e-52 2 2 4463 1644 "UA" -1
"CYP2D6*40" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*45" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*46" 7.51132864013479e-19 2 2 4041 2368 "UA" -1
"CYP2D6*47" 7.63073688730465e-13 3 3 5656 2199 "UA" -1
