"SetID" "P.value" "N.Marker.All" "N.Marker.Test" "MAC" "m" "Method.bin" "MAP"
"GSTP1*4" 0.00153903623973236 1 1 169 166 "QA" -1
"CYP2D6*114" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"CYP2D6*34" 0.0922296748713705 1 1 1952 1465 "UA" -1
"CYP2B6*4" 1 1 0 0 0 "NA" 1
"CYP4B1*3" 4.47319660745604e-17 1 1 1062 939 "UA" -1
"CYP2D6*32" 1 1 0 0 0 "NA" 1
"TBXAS1*3" 7.60435072565348e-146 1 1 158 87 "QA" -1
"NUDT15*6" 0.03761137415429 1 1 83 83 "QA" -1
"SLCO1B1*14" 1.96682839589063e-26 1 1 2146 1612 "UA" -1
"CYP2D6*108" 1 1 0 0 0 "NA" 1
"DPYD*6" 0.00611495787312221 1 1 225 216 "QA" -1
"CYP2A6*2" 0.14599951906263 1 1 47 47 "QA" -1
"CYP2D6*131" 1.6727157109793e-16 1 1 21 16 "QA" -1
"GSTP1*2" 1.36590095682574e-28 1 1 1789 1439 "UA" -1
"CYP2D6*27" 1 1 0 0 0 "NA" 1
"NAT1*3" 6.140483341786e-43 1 1 2497 1870 "UA" -1
"CYP2F1*4" 7.5668289985657e-08 1 1 2192 1678 "UA" -1
"CYP1A2*1F" 0.0142253496438464 1 1 2018 1589 "UA" -1
"CYP2A6*44" 7.87179730556351e-30 2 1 77 70 "QA" -1
"CYP2D6*69" 4.31324174192074e-21 1 1 1193 938 "UA" -1
"UGT1A1*6" 0.0623060235029842 1 1 178 169 "QA" -1
"GSTP1*3" 0.000940338029457588 2 2 1958 1439 "UA" -1
"CYP2B6*9" 0.511639631728287 1 1 1706 1405 "UA" -1
"CYP3A4*16" 0.173026637809878 1 1 5 5 "ER" 7.90152385954015e-07
"CYP1A2*1L" 2.91202020274994e-08 2 2 4137 2422 "UA" -1
"CYP2D6*74" 7.62083428397378e-06 1 1 348 308 "QA" -1
"CYP4B1*S1" 1.282550895958e-15 1 1 794 717 "UA" -1
"CYP19A1*4" 1.93411602033351e-20 1 1 825 716 "UA" -1
