Gene	HAP	Tiwi	1KG	SGD	Adj.P.val vs1KG
cyp1a1	*2A	0.722222222222222	0.11841054313099	.	1.21259006148757E-38
cyp1a2	*1F	0.683760683760684	0.360623003194888	0.610869565217391	0.134378331703162
cyp2b6	*9	0.418803418803419	0.242811501597444	0.006521739130435	0.001257183001064
cyp2c19	*2	0.256410256410256	0.155151757188498	0.184782608695652	0.153240465092356
cyp2c19	*3	0.136752136752137	0.009784345047923	0.041304347826087	1.70716737727048E-25
cyp2c9	*3	0.393162393162393	0.031948881789137	0.06304347826087	1.02948513937819E-87
cyp2d6	*5	0.205128205128205	0.06629392971246	0.041304347826087	NA
cyp2e1	*7	0.145299145299145	0.294129392971246	0.315217391304348	9.22170856548097E-18
cyp3a5	*3	0.948717948717949	0.483426517571885	0.660869565217391	8.17798724192975E-18
cyp4f2	*3	0.799145299145299	0.163538338658147	0.243478260869565	6.71422774543127E-69
gstm1	*2	0.508547008547009	0.499800319488818	0.630434782608696	NA
gstm1	*3	0.162393162393162	0.275958466453674	0.106521739130435	NA
gstt1	*2	0.41025641025641	0.499800319488818	0.519565217391304	NA
nat1	*10	0.683760683760684	0.305311501597444	.	NA
nat2	*6	0.226495726495726	0.197484025559105	0.221739130434783	0.157770524314329
nat2	*7	0.282051282051282	0.054313099041534	0.104347826086957	5.2977670439362E-22
por	*28	0.200854700854701	0.256190095846645	0.284782608695652	NA
slc15a2	*2	0.760683760683761	0.333865814696486	0.421739130434783	NA
slc22a2	*2	0.239316239316239	0.191094249201278	0.265217391304348	NA
slco1b1	*35	0.162393162393162	0.033945686900959	0.023913043478261	4.51911567356771E-15
slco1b1	*1B	0.247863247863248	0.30970447284345	0.395652173913043	5.18458481339142E-10
slco2b1	*S464F	0.773504273504274	0.130191693290735	0.176086956521739	NA
ugt1a1	*60	0.324786324786325	0.481230031948882	0.497826086956522	NA
ugt2b15	*2	0.611111111111111	0.218051118210863	0.317391304347826	NA
ugt2b17	*2	0.803418803418803	0.316693290734824	0.584782608695652	NA
ugt2b7	*2	0.282051282051282	0.261581469648562	0.332608695652174	NA
vkorc1	*3	0.918803418803419	0.387380191693291	0.406521739130435	1.68211902298998E-41
